patch_addr,context_addr,stock_opcode,stock_asm,modified_opcode,modified_asm
0x3348,0x3340,8070F0,"MOV 0xE1E, W0",8070F0,"MOV 0xE1E, W0"
0x3348,0x3342,500FE3,"SUB W0, #0x3, [W15]",500FE3,"SUB W0, #0x3, [W15]"
0x3348,0x3344,3A0012,"BRA NZ, 0x336A",3A0012,"BRA NZ, 0x336A"
0x3348,0x3346,805011,"MOV 0xA02, W1",805011,"MOV 0xA02, W1"
0x3348,0x3348,203700,"MOV #0x370, W0",203B20,"MOV #0x3B2, W0"
0x3348,0x334A,508F80,"SUB W1, W0, [W15]",508F80,"SUB W1, W0, [W15]"
0x3348,0x334C,36000E,"BRA LEU, 0x336A",36000E,"BRA LEU, 0x336A"
0x3348,0x334E,802141,"MOV PHASE1, W1",802141,"MOV PHASE1, W1"
0x3348,0x3350,B03E30,"ADD #0x3E3, W0",B03E30,"ADD #0x3E3, W0"
0x3446,0x343E,887530,"MOV W0, 0xEA6",887530,"MOV W0, 0xEA6"
0x3446,0x3440,370010,BRA 0x3462,370010,BRA 0x3462
0x3446,0x3442,218600,"MOV #0x1860, W0",218600,"MOV #0x1860, W0"
0x3446,0x3444,886670,"MOV W0, 0xCCE",886670,"MOV W0, 0xCCE"
0x3446,0x3446,255110,"MOV #0x5511, W0",210000,"MOV #0x1000, W0"
0x3446,0x3448,887280,"MOV W0, 0xE50",887280,"MOV W0, 0xE50"
0x3446,0x344A,212C00,"MOV #0x12C0, W0",212C00,"MOV #0x12C0, W0"
0x3446,0x344C,887530,"MOV W0, 0xEA6",887530,"MOV W0, 0xEA6"
0x3446,0x344E,370009,BRA 0x3462,370009,BRA 0x3462
0x39B4,0x39AC,200002,"MOV #0x0, W2",200002,"MOV #0x0, W2"
0x39B4,0x39AE,247803,"MOV #0x4780, W3",247803,"MOV #0x4780, W3"
0x39B4,0x39B0,07E59B,RCALL 0x4E8,07E59B,RCALL 0x4E8
0x39B4,0x39B2,2EF9E2,"MOV #0xEF9E, W2",2EF9E2,"MOV #0xEF9E, W2"
0x39B4,0x39B4,246C33,"MOV #0x46C3, W3",246E83,"MOV #0x46E8, W3"
0x39B4,0x39B6,07E598,RCALL 0x4E8,07E598,RCALL 0x4E8
0x39B4,0x39B8,07E608,RCALL 0x5CA,07E608,RCALL 0x5CA
0x39B4,0x39BA,884F60,"MOV W0, 0x9EC",884F60,"MOV W0, 0x9EC"
0x39B4,0x39BC,804F68,"MOV 0x9EC, W8",804F68,"MOV 0x9EC, W8"
0x8F48,0x8F40,8070F0,"MOV 0xE1E, W0",8070F0,"MOV 0xE1E, W0"
0x8F48,0x8F42,500FE3,"SUB W0, #0x3, [W15]",500FE3,"SUB W0, #0x3, [W15]"
0x8F48,0x8F44,3A0012,"BRA NZ, 0x8F6A",3A0012,"BRA NZ, 0x8F6A"
0x8F48,0x8F46,805011,"MOV 0xA02, W1",805011,"MOV 0xA02, W1"
0x8F48,0x8F48,203700,"MOV #0x370, W0",203B20,"MOV #0x3B2, W0"
0x8F48,0x8F4A,508F80,"SUB W1, W0, [W15]",508F80,"SUB W1, W0, [W15]"
0x8F48,0x8F4C,36000E,"BRA LEU, 0x8F6A",36000E,"BRA LEU, 0x8F6A"
0x8F48,0x8F4E,802141,"MOV PHASE1, W1",802141,"MOV PHASE1, W1"
0x8F48,0x8F50,B03E30,"ADD #0x3E3, W0",B03E30,"ADD #0x3E3, W0"
0x9046,0x903E,887530,"MOV W0, 0xEA6",887530,"MOV W0, 0xEA6"
0x9046,0x9040,370010,BRA 0x9062,370010,BRA 0x9062
0x9046,0x9042,218600,"MOV #0x1860, W0",218600,"MOV #0x1860, W0"
0x9046,0x9044,886670,"MOV W0, 0xCCE",886670,"MOV W0, 0xCCE"
0x9046,0x9046,255110,"MOV #0x5511, W0",210000,"MOV #0x1000, W0"
0x9046,0x9048,887280,"MOV W0, 0xE50",887280,"MOV W0, 0xE50"
0x9046,0x904A,212C00,"MOV #0x12C0, W0",212C00,"MOV #0x12C0, W0"
0x9046,0x904C,887530,"MOV W0, 0xEA6",887530,"MOV W0, 0xEA6"
0x9046,0x904E,370009,BRA 0x9062,370009,BRA 0x9062
0x95B4,0x95AC,200002,"MOV #0x0, W2",200002,"MOV #0x0, W2"
0x95B4,0x95AE,247803,"MOV #0x4780, W3",247803,"MOV #0x4780, W3"
0x95B4,0x95B0,07E59B,RCALL 0x60E8,07E59B,RCALL 0x60E8
0x95B4,0x95B2,2EF9E2,"MOV #0xEF9E, W2",2EF9E2,"MOV #0xEF9E, W2"
0x95B4,0x95B4,246C33,"MOV #0x46C3, W3",246E83,"MOV #0x46E8, W3"
0x95B4,0x95B6,07E598,RCALL 0x60E8,07E598,RCALL 0x60E8
0x95B4,0x95B8,07E608,RCALL 0x61CA,07E608,RCALL 0x61CA
0x95B4,0x95BA,884F60,"MOV W0, 0x9EC",884F60,"MOV W0, 0x9EC"
0x95B4,0x95BC,804F68,"MOV 0x9EC, W8",804F68,"MOV 0x9EC, W8"
