0000	WREG0	0x00A7	167	00000000 10100111	'.§'
0002	WREG1	0x0057	87	00000000 01010111	'.W'
0004	WREG2	0x0001	1	00000000 00000001	'..'
0006	WREG3	0x0742	1858	00000111 01000010	'.B'
0008	WREG4	0xFFFF	65535	11111111 11111111	'ÿÿ'
000A	WREG5	0x0002	2	00000000 00000010	'..'
000C	WREG6	0x0000	0	00000000 00000000	'..'
000E	WREG7	0x0000	0	00000000 00000000	'..'
0010	WREG8	0x0000	0	00000000 00000000	'..'
0012	WREG9	0x0000	0	00000000 00000000	'..'
0014	WREG10	0x0000	0	00000000 00000000	'..'
0016	WREG11	0x0000	0	00000000 00000000	'..'
0018	WREG12	0x0000	0	00000000 00000000	'..'
001A	WREG13	0x0000	0	00000000 00000000	'..'
001C	WREG14	0x0000	0	00000000 00000000	'..'
001E	WREG15	0x0C48	3144	00001100 01001000	'.H'
0020	SPLIM	0x2BF0	11248	00101011 11110000	'+ð'
0022	ACCA	0x0000	0	00000000 00000000	'..'
0024	ACCAH	0x0000	0	00000000 00000000	'..'
0026	ACCAU	0x0000	0	00000000 00000000	'..'
0028	ACCB	0x0000	0	00000000 00000000	'..'
002A	ACCBH	0x0000	0	00000000 00000000	'..'
002C	ACCBU	0x0000	0	00000000 00000000	'..'
002E	PCL	0x5A60	23136	01011010 01100000	'Z`'
0030	PCH	0x0000	0	00000000 00000000	'..'
0032	TBLPAG	0x0000	0	00000000 00000000	'..'
0034	PSVPAG	0x0000	0	00000000 00000000	'..'
0036	RCOUNT	0x0000	0	00000000 00000000	'..'
0038	DCOUNT	0x0000	0	00000000 00000000	'..'
003A	DOSTART	0x0000	0	00000000 00000000	'..'
003C	DOSTARTH	0x0000	0	00000000 00000000	'..'
003E	DOEND	0x0000	0	00000000 00000000	'..'
0040	DOENDH	0x0000	0	00000000 00000000	'..'
0042	SR	0x010B	267	00000001 00001011	'..'
0044	CORCON	0x0024	36	00000000 00100100	'.$'
0046	MODCON	0x0000	0	00000000 00000000	'..'
0048	XMODSRT	0x0000	0	00000000 00000000	'..'
004A	XMODEND	0x0001	1	00000000 00000001	'..'
004C	YMODSRT	0x0000	0	00000000 00000000	'..'
004E	YMODEND	0x0001	1	00000000 00000001	'..'
0050	XBREV	0x0000	0	00000000 00000000	'..'
0052	DISICNT	0x0000	0	00000000 00000000	'..'
0054		----	-	-	--
0056		----	-	-	--
0058		----	-	-	--
005A		----	-	-	--
005C		----	-	-	--
005E		----	-	-	--
0060	CNEN1	0x0000	0	00000000 00000000	'..'
0062	CNEN2	0x0000	0	00000000 00000000	'..'
0064		----	-	-	--
0066		----	-	-	--
0068	CNPU1	0x0000	0	00000000 00000000	'..'
006A	CNPU2	0x0000	0	00000000 00000000	'..'
006C		----	-	-	--
006E		----	-	-	--
0070		----	-	-	--
0072		----	-	-	--
0074		----	-	-	--
0076		----	-	-	--
0078		----	-	-	--
007A		----	-	-	--
007C		----	-	-	--
007E		----	-	-	--
0080	INTCON1	0x0000	0	00000000 00000000	'..'
0082	INTCON2	0x0000	0	00000000 00000000	'..'
0084	IFS0	0x0000	0	00000000 00000000	'..'
0086	IFS1	0x0000	0	00000000 00000000	'..'
0088	IFS2	0x0000	0	00000000 00000000	'..'
008A	IFS3	0x0000	0	00000000 00000000	'..'
008C	IFS4	0x0000	0	00000000 00000000	'..'
008E	IFS5	0x0000	0	00000000 00000000	'..'
0090	IFS6	0x0000	0	00000000 00000000	'..'
0092	IFS7	0x0000	0	00000000 00000000	'..'
0094	IEC0	0x0000	0	00000000 00000000	'..'
0096	IEC1	0x0000	0	00000000 00000000	'..'
0098	IEC2	0x0000	0	00000000 00000000	'..'
