target_addr,count,first_instruction
0x1480,61,"MOV.D W8, [W15++]"
0x7080,61,"MOV.D W8, [W15++]"
0x13F8,12,"MOV.D W8, [W15++]"
0x6FF8,12,"MOV.D W8, [W15++]"
0x133E,11,CP0 W0
0x6F3E,11,CP0 W0
0x04E8,7,"MOV.D W8, [W15++]"
0x38C0,7,"BCLR 0x9D4, #4"
0x60E8,7,"MOV.D W8, [W15++]"
0x94C0,7,"BCLR 0x9D4, #4"
0x1378,6,"MOV.D W8, [W15++]"
0x6F78,6,"MOV.D W8, [W15++]"
0x0490,5,"MOV.D W8, [W15++]"
0x3D82,5,"MOV W0, W1"
0x3228,5,"MOV #0x2, W0"
0x6090,5,"MOV.D W8, [W15++]"
0x9982,5,"MOV W0, W1"
0x8E28,5,"MOV #0x2, W0"
0x42A6,4,"MOV.D W8, [W15++]"
0x57CC,4,"MOV.D W8, [W15++]"
0x9EA6,4,"MOV.D W8, [W15++]"
0x5000,3,"MOV #0xC40, W15"
0x0000,3,GOTO 0x5000
0x06B2,3,"LSR W1, #7, W5"
0x0BBE,3,RCALL 0xB5E
0x0CC2,3,"MOV.B #0x5E, W0"
0x082C,3,CLR W0
0x134C,3,"BSET LATF, #0"
0x1F54,3,"MOV.D W0, W2"
0x1F30,3,"MOV W0, W2"
0x05A6,3,"MOV #0x1, W4"
0x4010,3,CLR W0
0x3D8E,3,"MOV #0xF, W0"
0x58BC,3,"MOV.D W8, [W15++]"
0x5804,3,"MOV.D W8, [W15++]"
0x578E,3,"MOV.B WREG, TBLPAG"
0x5774,3,"MOV W0, NVMCON"
0x62B2,3,"LSR W1, #7, W5"
0x67BE,3,RCALL 0x675E
0x68C2,3,"MOV.B #0x5E, W0"
0x642C,3,CLR W0
0x6F4C,3,"BSET LATF, #0"
0x7B54,3,"MOV.D W0, W2"
0x7B30,3,"MOV W0, W2"
0x61A6,3,"MOV #0x1, W4"
0x9C10,3,CLR W0
0x998E,3,"MOV #0xF, W0"
0x0600,2,"MOV #0x8, W1"
0x064C,2,"MOV.D W0, W8"
0x0736,2,"BSET 0xD68, #3"
0x0C40,2,LNK #0x8
0x1362,2,"BCLR LATF, #0"
0x05A2,2,"MOV #0xFFFF, W4"
0x2FC2,2,"MOV W0, W2"
0x05CA,2,"MOV.D W0, W2"
0x3EE4,2,"MOV #0x5C00, W0"
0x3EF8,2,"MOV.D W8, [W15++]"
0x403A,2,"MOV 0xD4C, W4"
0x5610,2,LNK #0x4
0x6000,2,"MOV #0xEB6, W15"
0x6200,2,"MOV #0x8, W1"
0x624C,2,"MOV.D W0, W8"
0x6336,2,"BSET 0xD68, #3"
0x6840,2,LNK #0x8
0x6F62,2,"BCLR LATF, #0"
0x61A2,2,"MOV #0xFFFF, W4"
0x8BC2,2,"MOV W0, W2"
0x61CA,2,"MOV.D W0, W2"
