start_byte_addr,end_byte_addr,byte_count,stock_bytes,pico_bytes,program_addr_hint,interpretation
0x00001A70,0x00001A71,2,05 01,F6 26,0x0D38,Low image I2C1 command-table entry for wire register 0x3E/logical 0x1F now branches to the CC-command write handler at 0x5B26.
0x00001A80,0x00001A81,2,01 01,EF 26,0x0D40,Low image I2C1 command-table entry for wire register 0x42/logical 0x21 now branches to the status/control write handler at 0x5B20.
0x000057AC,0x000057AE,3,61 1A 80,AC 17 07,0x2BD6,"Low image ADC current-sample path is replaced with RCALL 0x5B30, which substitutes synthetic current ADC words based on the external output-enable bit."
0x000057B0,0x000057B2,3,51 75 88,00 00 00,0x2BD8,NOP padding after 0x2BD6 hook; original moved ADCBUF6 to RAM 0x0EAA.
0x000057B4,0x000057B6,3,72 1A 80,00 00 00,0x2BDA,NOP padding after 0x2BD6 hook; original moved ADCBUF7 to W2.
0x000057B8,0x000057BA,3,62 75 88,00 00 00,0x2BDC,NOP padding after 0x2BD6 hook; original moved W2 to RAM 0x0EAC.
0x000068C4,0x000068C6,3,70 66 80,76 13 07,0x3462,"Low image current-limit/mode-table application path is replaced with RCALL 0x5B50, which clamps and applies an externally written CC limit."
0x000068C8,0x000068CA,3,60 66 88,00 00 00,0x3464,NOP padding after 0x3462 hook; original copied 0x0CCE to 0x0CCC.
0x000070B8,0x000070BA,3,21 1A 80,51 11 07,0x385C,Low image output-voltage ADC read uses the 0x5B00 Q15 OVP scaling helper instead of raw ADCBUF2.
0x0000B600,0x0000B602,3,FF FF FF,00 00 F8,0x5B00,Low image inserted OVP scaling helper: W1 = (ADCBUF2 * 0x6AC2) >> 15.
0x0000B604,0x0000B606,3,FF FF FF,04 00 F8,0x5B02,Unclassified program-memory change.
0x0000B608,0x0000B60A,3,FF FF FF,06 00 F8,0x5B04,Unclassified program-memory change.
0x0000B60C,0x0000B60E,3,FF FF FF,20 1A 80,0x5B06,Unclassified program-memory change.
0x0000B610,0x0000B612,3,FF FF FF,22 AC 26,0x5B08,Unclassified program-memory change.
0x0000B614,0x0000B616,3,FF FF FF,02 00 B8,0x5B0A,Unclassified program-memory change.
0x0000B618,0x0000B61A,3,FF FF FF,C1 08 DD,0x5B0C,Unclassified program-memory change.
0x0000B61C,0x0000B61E,3,FF FF FF,4F 00 DE,0x5B0E,Unclassified program-memory change.
0x0000B620,0x0000B622,3,FF FF FF,81 00 70,0x5B10,Unclassified program-memory change.
0x0000B624,0x0000B626,3,FF FF FF,06 00 F9,0x5B12,Unclassified program-memory change.
0x0000B628,0x0000B62A,3,FF FF FF,04 00 F9,0x5B14,Unclassified program-memory change.
0x0000B62C,0x0000B62E,3,FF FF FF,00 00 F9,0x5B16,Unclassified program-memory change.
0x0000B630,0x0000B632,3,FF FF FF,00 00 06,0x5B18,Unclassified program-memory change.
0x0000B640,0x0000B642,3,FF FF FF,60 43 80,0x5B20,Low image inserted status/control write handler: RAM 0x08C8 = received I2C word from 0x086C.
0x0000B644,0x0000B646,3,FF FF FF,40 46 88,0x5B22,Unclassified program-memory change.
0x0000B648,0x0000B64A,3,FF FF FF,21 DA 37,0x5B24,Unclassified program-memory change.
