vector_offset,normal_target,normal_name,alternate_target,alternate_name,notes
0x0004,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0006,0xA1E4,oscillator_fail_trap,0x45FC,oscillator_fail_trap_low,
0x0008,0xA1EA,address_error_trap,0x4600,address_error_trap_low,
0x000A,0xA1F0,stack_error_trap,0x4604,stack_error_trap_low,
0x000C,0xA1F6,math_error_trap,0x4608,math_error_trap_low,
0x000E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0010,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0012,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0014,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0016,0x892E,adc_pair_isr_a,0x2D2E,adc_pair_isr_a_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0018,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x001A,0x84AA,timer1_housekeeping_isr,0x28AA,timer1_housekeeping_isr_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x001C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x001E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0020,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0022,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0024,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0026,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0028,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x002A,0x7CD4,uart1_rx_isr,0x20D4,uart1_rx_isr_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x002C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x002E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0030,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0032,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0034,0x6B6A,i2c1_slave_isr,0x0F6A,i2c1_slave_isr_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0036,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0038,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x003A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x003C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x003E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0040,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0042,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0044,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0046,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0048,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x004A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x004C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x004E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0050,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0052,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0054,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0056,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0058,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x005A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x005C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x005E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0060,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0062,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0064,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0066,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
