program_addr,nohwmod_rev10_opcode,nohwmod_rev10_asm,pico_opcode,pico_asm,interpretation
0x0D38,370105,BRA 0xF44,3726F6,BRA 0x5B26,Low image I2C1 command-table entry for wire register 0x3E/logical 0x1F now branches to the CC-command write handler at 0x5B26.
0x0D40,370101,BRA 0xF44,3726EF,BRA 0x5B20,Low image I2C1 command-table entry for wire register 0x42/logical 0x21 now branches to the status/control write handler at 0x5B20.
0x2BD6,801A61,"MOV ADCBUF6, W1",0717AC,RCALL 0x5B30,"Low image ADC current-sample path is replaced with RCALL 0x5B30, which substitutes synthetic current ADC words based on the external output-enable bit."
0x2BD8,887551,"MOV W1, 0xEAA",000000,NOP,NOP padding after 0x2BD6 hook; original moved ADCBUF6 to RAM 0x0EAA.
0x2BDA,801A72,"MOV ADCBUF7, W2",000000,NOP,NOP padding after 0x2BD6 hook; original moved ADCBUF7 to W2.
0x2BDC,887562,"MOV W2, 0xEAC",000000,NOP,NOP padding after 0x2BD6 hook; original moved W2 to RAM 0x0EAC.
0x3462,806670,"MOV 0xCCE, W0",071376,RCALL 0x5B50,"Low image current-limit/mode-table application path is replaced with RCALL 0x5B50, which clamps and applies an externally written CC limit."
0x3464,886660,"MOV W0, 0xCCC",000000,NOP,NOP padding after 0x3462 hook; original copied 0x0CCE to 0x0CCC.
0x39B4,246E43,"MOV #0x46E4, W3",246C33,"MOV #0x46C3, W3",Unclassified program-memory change.
0x5B20,FFFFFF,NOPR,804360,"MOV 0x86C, W0",Low image inserted status/control write handler: RAM 0x08C8 = received I2C word from 0x086C.
0x5B22,FFFFFF,NOPR,884640,"MOV W0, 0x8C8",Unclassified program-memory change.
0x5B24,FFFFFF,NOPR,37DA21,BRA 0xF68,Unclassified program-memory change.
0x5B26,FFFFFF,NOPR,804360,"MOV 0x86C, W0",Low image inserted CC-value write handler: RAM 0x08C4 = received I2C word from 0x086C.
0x5B28,FFFFFF,NOPR,884620,"MOV W0, 0x8C4",Unclassified program-memory change.
0x5B2A,FFFFFF,NOPR,37DA1E,BRA 0xF68,Unclassified program-memory change.
0x5B30,FFFFFF,NOPR,ABE8C9,"BTST 0x8C9, #7",Low image inserted current-sample substitute helper for output-enable controlled ADC/current words.
0x5B32,FFFFFF,NOPR,3A0005,"BRA NZ, 0x5B3E",Unclassified program-memory change.
0x5B34,FFFFFF,NOPR,203A31,"MOV #0x3A3, W1",Unclassified program-memory change.
0x5B36,FFFFFF,NOPR,887551,"MOV W1, 0xEAA",Unclassified program-memory change.
0x5B38,FFFFFF,NOPR,200002,"MOV #0x0, W2",Unclassified program-memory change.
0x5B3A,FFFFFF,NOPR,887562,"MOV W2, 0xEAC",Unclassified program-memory change.
0x5B3C,FFFFFF,NOPR,370004,BRA 0x5B46,Unclassified program-memory change.
0x5B3E,FFFFFF,NOPR,200DE1,"MOV #0xDE, W1",Unclassified program-memory change.
0x5B40,FFFFFF,NOPR,887551,"MOV W1, 0xEAA",Unclassified program-memory change.
0x5B42,FFFFFF,NOPR,200CC2,"MOV #0xCC, W2",Unclassified program-memory change.
