caller_addr,call_type,target_addr,target_first_instruction
0x0000,GOTO,0x5000,"MOV #0xC40, W15"
0x0408,RCALL,0x0422,"BCLR CORCON, #2"
0x040E,RCALL,0x0432,"MOV W1, TBLPAG"
0x0416,CALL,0x0000,GOTO 0x5000
0x041A,CALL,0x3C44,"BSET 0x83, #7"
0x0462,RCALL,0x046C,"TBLRDL.B [W1++], [W2++]"
0x04DA,RCALL,0x0600,"MOV #0x8, W1"
0x04EE,RCALL,0x064C,"MOV.D W0, W8"
0x058C,RCALL,0x0600,"MOV #0x8, W1"
0x05CC,RCALL,0x06B2,"LSR W1, #7, W5"
0x064E,RCALL,0x06B2,"LSR W1, #7, W5"
0x0656,RCALL,0x06B2,"LSR W1, #7, W5"
0x0682,RCALL,0x064C,"MOV.D W0, W8"
0x07AA,RCALL,0x42A6,"MOV.D W8, [W15++]"
0x0AE6,RCALL,0x0BBE,RCALL 0xB5E
0x0BBE,RCALL,0x0B5E,"MOV 0xDAA, W0"
0x0C6C,RCALL,0x42A6,"MOV.D W8, [W15++]"
0x0C92,RCALL,0x42A6,"MOV.D W8, [W15++]"
0x0E98,RCALL,0x1480,"MOV.D W8, [W15++]"
0x0EA2,RCALL,0x0736,"BSET 0xD68, #3"
0x0EB2,RCALL,0x1480,"MOV.D W8, [W15++]"
0x0EC2,RCALL,0x0736,"BSET 0xD68, #3"
0x0FA2,RCALL,0x0C40,LNK #0x8
0x0FB4,RCALL,0x0CC2,"MOV.B #0x5E, W0"
0x1082,RCALL,0x0C0A,CP0.B 0x877
0x10B2,RCALL,0x082C,CLR W0
0x10DA,RCALL,0x0CC2,"MOV.B #0x5E, W0"
0x1116,RCALL,0x082C,CLR W0
0x112A,RCALL,0x0CC2,"MOV.B #0x5E, W0"
0x1246,RCALL,0x082C,CLR W0
0x124E,RCALL,0x0C40,LNK #0x8
0x1300,RCALL,0x0BCE,"BSET 0x8E6, #2"
0x1304,RCALL,0x133E,CP0 W0
0x1356,RCALL,0x133E,CP0 W0
0x135C,RCALL,0x133E,CP0 W0
0x1368,RCALL,0x133E,CP0 W0
0x136E,RCALL,0x133E,CP0 W0
0x1374,RCALL,0x133E,CP0 W0
0x1390,RCALL,0x133E,CP0 W0
0x1396,RCALL,0x133E,CP0 W0
0x13C0,RCALL,0x133E,CP0 W0
0x13E2,RCALL,0x133E,CP0 W0
0x13EC,RCALL,0x133E,CP0 W0
0x1428,RCALL,0x134C,"BSET LATF, #0"
0x1430,RCALL,0x1378,"MOV.D W8, [W15++]"
0x143C,RCALL,0x1378,"MOV.D W8, [W15++]"
0x144C,RCALL,0x1378,"MOV.D W8, [W15++]"
0x145E,RCALL,0x1362,"BCLR LATF, #0"
0x14A6,RCALL,0x134C,"BSET LATF, #0"
0x14AE,RCALL,0x1378,"MOV.D W8, [W15++]"
0x14BA,RCALL,0x1378,"MOV.D W8, [W15++]"
0x14C4,RCALL,0x134C,"BSET LATF, #0"
0x14CA,RCALL,0x1378,"MOV.D W8, [W15++]"
0x14D4,RCALL,0x13B4,"MOV W8, [W15++]"
0x14DA,RCALL,0x1362,"BCLR LATF, #0"
0x14F6,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1528,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1552,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x155E,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1568,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1572,RCALL,0x1480,"MOV.D W8, [W15++]"
0x157C,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1586,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1590,RCALL,0x1480,"MOV.D W8, [W15++]"
0x159A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15A4,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15AE,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15B8,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15C2,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15CC,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15D6,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15E0,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15EA,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15F2,RCALL,0x1480,"MOV.D W8, [W15++]"
0x15FA,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1602,RCALL,0x1480,"MOV.D W8, [W15++]"
0x160A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1612,RCALL,0x1480,"MOV.D W8, [W15++]"
0x161A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1622,RCALL,0x1480,"MOV.D W8, [W15++]"
0x162A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1632,RCALL,0x1480,"MOV.D W8, [W15++]"
0x163A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1642,RCALL,0x1480,"MOV.D W8, [W15++]"
0x164A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1652,RCALL,0x1480,"MOV.D W8, [W15++]"
0x165A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1662,RCALL,0x1480,"MOV.D W8, [W15++]"
0x166A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1672,RCALL,0x1480,"MOV.D W8, [W15++]"
0x168A,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1694,RCALL,0x1480,"MOV.D W8, [W15++]"
